id,applicability,verification_method,trace_links,rationale
DEMO-HL-001,applicable,analysis,,"Top-level safety and mission assurance basis applies to the fake GSE demonstrator."
DEMO-RS-010,applicable,inspection,DEMO-HL-001,"Pad operations, lifting, pressure, access control, and emergency response are in project scope."
DEMO-RS-011,applicable,inspection,DEMO-RS-010,"Hazard analysis ATGSD-HAZ-001 requires closure evidence before simulated pad operations."
DEMO-STR-020,applicable,analysis,DEMO-HL-001,"Welded carbon-steel support frame and lift hardware require structural analysis and record review."
DEMO-STR-021,applicable,inspection,DEMO-STR-020,"Fracture-sensitive welded and lifted metallic components require traceability and NDE evidence."
DEMO-STR-022,conditional,analysis,DEMO-STR-020,"Human-rated structural provisions are tailored to operator-adjacent lifting fixtures."
DEMO-ELEC-030,applicable,inspection,DEMO-HL-001,"Facility-powered electrical cabinet uses disconnects, overcurrent protection, labels, and access controls."
DEMO-ELEC-031,applicable,test,DEMO-ELEC-030,"Bonding resistance checks verify grounding and hazardous touch-potential controls."
DEMO-WIRE-040,applicable,inspection,DEMO-ELEC-030,"Flight-hardware-facing harness workmanship is explicitly in scope."
DEMO-WIRE-041,applicable,inspection,DEMO-WIRE-040,"Harness wire is procured to MIL-DTL-16878 slash-sheet requirements."
DEMO-MAT-050,applicable,inspection,DEMO-HL-001,"Materials screening applies to oxygen service, ignition sources, and operator work areas."
DEMO-OXY-060,applicable,inspection,DEMO-MAT-050,"GOX simulator and oxygen-cleaned components make oxygen compatibility applicable."
DEMO-PRES-070,applicable,inspection,DEMO-HL-001,"The removable accumulator is purchased as an ASME-certified vessel and accepted by certificate inspection."
DEMO-PRES-071,applicable,test,DEMO-PRES-070,"Process piping manifold requires hydrostatic and leak testing."
DEMO-PRES-072,applicable,inspection,DEMO-PRES-070,"Flexible hoses are shelf-life, cleanliness, proof-pressure, and periodic-inspection controlled."
DEMO-GSE-080,applicable,inspection,DEMO-HL-001,"Ground support equipment design and release requirements apply."
DEMO-GSE-081,applicable,demonstration,DEMO-GSE-080,"Electrical GSE cabinet includes interlocks and emergency stop demonstration."
DEMO-GSE-082,applicable,test,DEMO-GSE-080,"Mechanical GSE includes lift fixture and load-test evidence."
DEMO-GSE-083,applicable,test,DEMO-GSE-080,"Programmable interlock relay requires validation and rollback evidence."
DEMO-NDE-090,applicable,inspection,DEMO-STR-020,"NDE personnel qualification certificates are inspected for weld and fracture-critical inspections."
DEMO-FAST-100,applicable,inspection,DEMO-HL-001,"Fasteners and metallic hardware require controlled process records when specified."
DEMO-HEAT-101,applicable,inspection,DEMO-FAST-100,"Heat-treated brackets and fasteners require furnace and material certification records."
DEMO-CORR-110,applicable,inspection,DEMO-HL-001,"Carbon-steel exterior hardware is galvanized and coating thickness is inspected."
DEMO-CORR-111,applicable,inspection,DEMO-CORR-110,"Sheet panel ASTM A653 G90 material certifications are inspected."
DEMO-CORR-112,conditional,inspection,DEMO-CORR-110,"Cadmium plating is prohibited except for one approved sealed-relay waiver."
DEMO-PACK-120,applicable,inspection,DEMO-HL-001,"Critical parts require preservation, packaging, FOD, shock, and moisture controls."
DEMO-PYRO-130,not_applicable,other,DEMO-HL-001,"Architecture and hazard analysis exclude explosive, pyrotechnic, and energetic devices."
DEMO-MSFC-140,applicable,inspection,DEMO-HL-001,"Elastomeric pressure-system seals are procured to project MSFC-SPEC-445 notes."
