spec_id,title,authority,access_note,demo_use
AFSPCMAN-91-710-V3,"Range Safety User Requirements Manual, Volume 3",USSF/Space Force,"Use official distribution channel; demo stores metadata only.","Range safety, launch-site hazardous operations, tailoring records."
NASA-STD-5005,"Standard for the Design and Fabrication of Ground Support Equipment",NASA,"Public NASA standards source when available; demo stores paraphrased requirements only.","Structural and mechanical GSE design evidence."
NASA-STD-8719.12,"Safety Standard for Explosives, Propellants, and Pyrotechnics",NASA,"Public NASA standards source when available; demo stores paraphrased requirements only.","Ordnance applicability and non-applicability evidence."
NASA-STD-4003,"Electrical Bonding for NASA Launch Vehicles, Spacecraft, Payloads, and Flight Equipment",NASA,"Public NASA standards source when available; demo stores paraphrased requirements only.","Bonding and grounding verification."
NASA-STD-8739.4,"Crimping, Interconnecting Cables, Harnesses, and Wiring",NASA,"Public NASA workmanship source when available; demo stores paraphrased requirements only.","Harness workmanship verification."
KSC-GP-864-IIA,"Pressure Systems Manual Volume IIA",NASA KSC,"Use official KSC distribution channel; demo stores metadata only.","Ground pressure-system accessories and operations."
NFPA-70,"National Electrical Code",NFPA,"Commercial copyrighted standard; do not copy text into repo.","Facility electrical compliance."
MIL-DTL-16878,"Wire, Electrical, Insulated, General Specification",DLA/DoD,"Use official ASSIST distribution channel; demo stores metadata only.","Wire procurement and rating evidence."
AIA-NAS-410,"NAS Certification and Qualification of Nondestructive Test Personnel",AIA,"Commercial industry standard; do not copy text into repo.","NDE personnel qualification."
ASME-BPVC,"Boiler and Pressure Vessel Code",ASME,"Commercial copyrighted code; do not copy text into repo.","Certified accumulator acceptance."
ASME-B31.3,"Process Piping",ASME,"Commercial copyrighted code; do not copy text into repo.","Process piping design and pressure test."
ASTM-D4174,"Standard Practice for Cleaning, Flushing, and Purification of Petroleum Fluid Hydraulic Systems",ASTM,"Commercial copyrighted standard; do not copy text into repo.","Packaging and cleanliness tailoring placeholder."
SAE-AMS-2759-9,"Hydrogen Embrittlement Relief Baking of Steel Parts",SAE,"Commercial copyrighted standard; do not copy text into repo.","Post-process controls for plated or treated steel parts."
NASA-STD-5009,"Nondestructive Evaluation Requirements for Fracture Critical Metallic Components",NASA,"Public NASA standards source when available; demo stores paraphrased requirements only.","Fracture-critical metallic part screening."
NASA-STD-5008,"Protective Design Standard",NASA,"Public NASA standards source when available; demo stores paraphrased requirements only.","Human-rated structural assurance tailoring."
GSED-2148,"Ground Support Equipment Design Requirements",NASA/KSC,"Use project-controlled distribution channel; demo stores metadata only.","General GSE release basis."
GSED-2184,"Electrical Ground Support Equipment Requirements",NASA/KSC,"Use project-controlled distribution channel; demo stores metadata only.","EGSE schematics and interlock evidence."
GSED-2185,"Mechanical Ground Support Equipment Requirements",NASA/KSC,"Use project-controlled distribution channel; demo stores metadata only.","MGSE load test and drawing evidence."
GSED-2190,"Ground Support Software or Programmable Logic Requirements",NASA/KSC,"Use project-controlled distribution channel; demo stores metadata only.","Programmable interlock validation evidence."
ISO-14952,"Space systems - Surface cleanliness of fluid systems",ISO,"Commercial ISO standard; do not copy text into repo.","Oxygen-service cleanliness and compatibility."
MSFC-SPEC-445,"Rubber, Synthetic, General Specification for",NASA MSFC,"Use official MSFC/project channel; demo stores metadata only.","Elastomeric seal procurement evidence."
SAE-AMS-2175,"Castings, Classification and Inspection of",SAE,"Commercial copyrighted standard; do not copy text into repo.","Material certification and inspection class placeholder."
ASTM-A123,"Zinc Coatings on Iron and Steel Products",ASTM,"Commercial copyrighted standard; do not copy text into repo.","Hot-dip galvanizing acceptance."
ASTM-A653,"Steel Sheet, Zinc-Coated or Zinc-Iron Alloy-Coated",ASTM,"Commercial copyrighted standard; do not copy text into repo.","Sheet metal material certification."
SAE-AMS-2404,"Plating, Electroless Nickel",SAE,"Commercial copyrighted standard; do not copy text into repo.","Plating waiver/control placeholder."
NASA-STD-6001B,"Flammability, Offgassing, and Compatibility Requirements and Test Procedures",NASA,"Public NASA standards source when available; demo stores paraphrased requirements only.","Materials compatibility screening."

